username,handle,postDate,responding,retweets,likes
Joma,@Joma01181743,2023-07-09T06:15:06.000Z,@IndiHome  minn jaringane piye iki 325,,
Niken,@kekenmato,2023-07-09T03:53:55.000Z,@IndiHomeCare @IndiHome   Halosaya mau tanya klo migrasi paket apakah akan memutus internet yg lama lalu psang baru? 241,,
chel,@Shlviaap,2023-07-09T03:53:51.000Z,Replying to @ssenaaaa_ and @IndiHome akooo juga,,
Kunyit's Delivery Service,@kikycookie,2023-07-09T03:53:06.000Z,@IndiHome kak knp wifiku error terus ilang mulu jaringannya 342,,
Mas Dhea,@dhea_ardi,2023-07-09T03:13:55.000Z,"Replying to @dhea_ardi Coba dari Kemarin Pagi kirim teknisi atas keluhan customer, pasti masalahnya langsung bisa diatasi. Barusan Teknisi @IndiHome datang dan check di panel hub complex, ada yang putus. Setelah diperbaiki Internet di rumah saya kembali  Mohon para admin @IndiHome @Telkomsel ligat!",,
na²³,@thecynamnn,2023-07-09T01:20:01.000Z,"ini Indihome tolong dong kerjasamanya, gue mau ujian mandiri kenapa lemot banget jaringannya tolonggg@IndiHomeCare @IndiHome 170",,
P.Coen,@bangcad_doank19,2023-07-09T00:31:06.000Z,cek dm ya min @IndiHome 149,,
FILDAN FAHLEVI,@sharga0505,2023-07-09T00:30:59.000Z,@IndiHome  saya mau migrasi paket Mohon dibantu 146,,
@AgnitiaBudia,@AgnitiaBudia,2023-07-09T00:30:56.000Z,min jaringanku lambat knpa ya? @IndiHome 262,,
Hamcohamise,@Hamcohamise1,2023-07-09T00:30:39.000Z,hai min @IndiHome 142,,
Rico Harjunanto,@RicoHarjunanto,2023-07-08T22:56:15.000Z,Replying to @GophanSC @tsugaaaaaaaa and 2 others Bantuin apa cuk @GophanSC ?,,
Deasy_kartika,@Kartikadessi026,2023-07-08T17:33:14.000Z,"Replying to @IndiHomeCare and @IndiHome Terpasang min, semua kabel terpasaaang,Udah cabut pasang tapi ttep aja ga bisaa",,
IndiHomeCare,@IndiHomeCare,2023-07-08T17:22:44.000Z,"Replying to @Kartikadessi026 and @IndiHome Halo, Kak Deasy. Zikri cek, saat ini layanannya sedang tidak bisa koneksi, bisa disebabkan karena kabel patch cord yang tidak terpasang dengan kencang/benar. Sebagai langkah awal Zikri sarankan untuk memastikan kabel Patch Cord sudah terpasang dengan kencang",,
Mas Dhea,@dhea_ardi,2023-07-08T16:57:04.000Z,"Paling sering dapat respons atau reply DM seperti ini Mimin masih butuh waktu nih Kak buat ngecek. Mohon ditunggu ya.Dari admin @Telkomsel @IndiHome Berulang-ulang Quote TweetTelkomsel@Telkomsel·15hReplying to @dhea_ardiBaik, Kak Dhea. Sekali lagi mohon maaf ya atas ketidaknyamanannya, semoga kendalanya segera teratasi ya, Kak. Sehat selalu :) -Kiano",,
Deasy_kartika,@Kartikadessi026,2023-07-08T16:54:38.000Z,"@IndiHome kayanya sebulan sekali error yak bayar telat sehari langsung di matiin, tapii tiap bulan gangguan. Kocak 375",,
Krisna ୧⍤⃝,@ustadztersesat,2023-07-08T16:52:16.000Z,Wi-Fi di rumah lemot banget anjeng  @IndiHome 362,,
Mas Dhea,@dhea_ardi,2023-07-08T16:35:40.000Z,"Gak usah bales DM semua data sudah saya kirimCepat buat Surat laporan aja dan kirim Teknisi segera Gak usah pakai basa-basi Saya hanya minta segera lakukan perbaikan secepatnya Ngerti yaa Pak Admin @Telkomsel @IndiHome Quote TweetTelkomsel@Telkomsel·16hReplying to @dhea_ardiMaafin ya Kak Dhea. Gavin cek interaksinya udah ada di DM, Gavin usahain segera bales juga DM dari Kakak. Tunggu bentar ya :) -Gavin",,
hppiest.slf,@oleanisi,2023-07-08T16:19:14.000Z,@IndiHomeCare @IndiHome @IndihomeBogor #indihome #indihomebogor Quote Tweethppiest.slf@oleanisi·16h twitter.com/oleanisi/statu…,,
Novriansyah Dwi Saputra,@novriansyah_ovi,2023-07-08T16:17:12.000Z,kakakkkkkkkk wifinyaaa lemott lagi indihomeee @IndiHomeCare @IndiHome 129,,
hppiest.slf,@oleanisi,2023-07-08T15:59:05.000Z,"special thanks to @IndiHomeCare @IndiHome @IndihomeBogor malem malem tetep ngelayanin keluhan pelanggan, totalitas banget, besttt#indihome #indihomebogor ",1.0,
sagita_mania,@sagitamania123,2023-07-08T15:13:57.000Z,Min halo mau tanya @IndiHome 149,,
Uya,@Uyacarsom,2023-07-08T14:58:39.000Z,@IndiHome koneksi putus putus 332,,
erik almi putra,@thekrikrok,2023-07-08T14:54:38.000Z,@IndiHome sama @Telkomsel  lagi payah jaringan yaa..? main game aja  sering RTO...tolong dong di perbaiki jaringannya biar main game ringan gak RTO.. 155,,
Kurniawan,@kurniawanbrooo,2023-07-08T14:12:15.000Z,@IndiHome lag boskuh 3139,,1.0
anna,@aininm__,2023-07-08T14:11:14.000Z,"Kira2 perbaikan kaya gini butuh berapa lama ya???!!! Aku butuh bgt mau ngerjain tugas, keburu gamood kalo hotspot lemot bgt @IndiHomeCare @IndiHome ",,
Bayu Sapta Nugraha,@BayuKFM,2023-07-08T13:13:20.000Z,Replying to @IndiHomeCare Modifikasi paket @IndiHome @IndiHomeCare setiap bulan ganti. Bukan layanan tambah bagus tapi biaya semakin naik. DM slow respon,,
Tsuga,@tsugaaaaaaaa,2023-07-08T10:52:09.000Z,"Hi Mas/Mba @IndiHome @IndiHomeCare,Saya sudah registrasi pendaftaran baru. Hampir seminggu proses nya belum dipasang-pasang. Sy tny sales katanya sistemnya lagi down. Piye ini mas/mba? Bisa DM ke saya. 2105",,
Timnas U-80kg,@Romadhoni570,2023-07-08T10:29:52.000Z,Aplikasimu kyk sampah my Indihome kirim kode nunggu 5 menit @IndiHome 52,,
Timnas U-80kg,@Romadhoni570,2023-07-08T10:20:46.000Z,Aplikasi my Indihome kenapa lemot banget mau verifikasi email @IndiHome 279,,
Ketaqketiq,@Ketaqketiq,2023-07-08T09:59:09.000Z,Indihome ini gangguan udah berjam jam kok gak udah udah yaaa...Padahal mahal tapi kek murah deh @indihome 2186,,1.0
#nfp,@michaltniel,2023-07-08T09:32:53.000Z,cek DM plis @TelkomCare @IndiHome @IndiHomeCare 154,,
Jhon Kadal,@Jhonceunah,2023-07-08T09:13:04.000Z,@IndiHome sore min 158,,
Stu.zein,@StefanAlbert_,2023-07-08T09:10:22.000Z,@IndiHome cek DM saya min 159,,
SPS,@Yasmin160118,2023-07-08T08:14:42.000Z,"@IndiHome sore, balas dm saya 150",,
BWR,@Belawr77965871,2023-07-08T08:12:54.000Z,mau tanya dong @IndiHome 151,,
Andi Odank,@AndiOda68941289,2023-07-08T08:11:56.000Z,@IndiHome 145,,
supramen,@leslaiii3,2023-07-08T08:10:29.000Z,@IndiHome cek dm 120,,
Fitri Yani,@FitriYa8756578,2023-07-08T08:09:37.000Z,@IndiHome mau upgrade speed nih 246,,
dan,@dandiabil,2023-07-08T07:47:47.000Z,"indihomo goblok, baru dibenerin udah loss lagi aja @IndiHome 392",,
popice_vanillablue,@teponggggg,2023-07-08T07:45:33.000Z,Replying to @AudreyAshd and @IndiHome @IndiHome @IndiHomeCare @indihomejkt,,
Bagus,@Bagus3131_,2023-07-08T07:42:30.000Z,@IndiHome pinggg 132,,
Raditya,@RXavario,2023-07-08T07:10:15.000Z,Cek paket indihome yg baru min @IndiHome 151,,
putrilaila,@putrila_ila,2023-07-08T07:09:26.000Z,Min nanya min @IndiHome 144,,
Bilqis85,@Bilqis85260147,2023-07-08T07:09:04.000Z,Kak @IndiHome 144,,
tyler durden,@meksthekidd,2023-07-08T07:08:52.000Z,LO KENAPA LEMOT MULU DAH MIN? APA CUMAN PENGGUNA LAMA DOANG YG LO BIKIN LEMOT? 30 MBPS RASA 10 MBPS!! @IndiHomeCare @IndiHome 192,,
yanza.,@icygreenteaaa,2023-07-08T06:55:31.000Z,ada aja tingkahnya @IndiHome 151,,
